Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,FIBRA OPTICA,SATELITAL,WIMAX,WIRELESS,DIAL UP,OTROS,Total general,TELEFONIAFIJA,3G,4G,Latitud,Longitud
CHACO,Almirante Brown,Taco Pozo,7813.0,0.0,0.0,364.0,3.0,0.0,0.0,0.0,0.0,367.0,SI,--,SI,-25.6156598937138,-63.2692964997065
CHACO,Bermejo,General Vedia,1751.0,159.0,0.0,43.0,1.0,0.0,205.0,0.0,0.0,408.0,SI,--,SI,-26.9349378591637,-58.6612848328678
CHACO,Bermejo,Isla del Cerrito,1758.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,SI,--,SI,-27.2927852739485,-58.6178377359072
CHACO,Bermejo,La Leonesa,8823.0,588.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,816.0,SI,SI,SI,-27.0379596283785,-58.7069377183708
CHACO,Bermejo,Las Palmas,4914.0,0.0,0.0,52.0,1.0,0.0,306.0,0.0,0.0,359.0,--,SI,SI,-27.0478975207771,-58.6795739267563
CHACO,Bermejo,Puerto Bermejo Nuevo,1733.0,0.0,0.0,10.0,0.0,0.0,51.0,0.0,0.0,61.0,SI,--,--,-26.9073753724695,-58.5428316633796
CHACO,Bermejo,Puerto Eva Perón,609.0,0.0,0.0,12.0,1.0,0.0,41.0,0.0,0.0,54.0,--,--,SI,-26.661480092829,-58.6355818176747
CHACO,Chacabuco,Charata,26497.0,2073.0,0.0,1167.0,2.0,0.0,229.0,0.0,0.0,3471.0,SI,SI,SI,-27.2200458502784,-61.1915854495204
CHACO,Comandante Fernández,Presidencia Roque Sáenz Peña,89882.0,5538.0,2936.0,1224.0,2.0,0.0,116.0,0.0,24.0,9840.0,SI,SI,SI,-26.7916058929378,-60.4421462814095
CHACO,General Belgrano,Corzuela,10335.0,170.0,0.0,42.0,1.0,0.0,28.0,0.0,0.0,241.0,SI,SI,SI,-26.9556760087163,-60.9707574059512
CHACO,General Donovan,La Escondida,3261.0,54.0,209.0,0.0,2.0,0.0,117.0,0.0,0.0,382.0,SI,SI,SI,-27.1073248470025,-59.4475325100431
CHACO,General Donovan,La Verde,2717.0,18.0,27.0,10.0,2.0,0.0,0.0,0.0,305.0,362.0,SI,SI,SI,-27.1297934337807,-59.3774619894492
CHACO,General Donovan,Lapachito,888.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,SI,SI,SI,-27.1587903465778,-59.3903975007013
CHACO,General Donovan,Makallé,4322.0,40.0,370.0,0.0,1.0,0.0,0.0,0.0,0.0,411.0,SI,SI,SI,-27.211618544441,-59.2883662132688
CHACO,General Güemes,El Espinillo,1261.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,SI,-25.4176698636006,-60.4139677023547
CHACO,General Güemes,El Sauzal,715.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,62.0,--,--,--,-24.579149375301,-61.5461702165927
CHACO,General Güemes,El Sauzalito,3374.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,SI,--,SI,-24.4345499393074,-61.6813716975806
CHACO,General Güemes,Fortín Lavalle,687.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0,--,--,--,-25.7056308542578,-60.2037478681132
CHACO,General Güemes,Fuerte Esperanza,1376.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,--,--,SI,-25.1560600566745,-61.8424104268078
CHACO,General Güemes,Juan José Castelli,27201.0,682.0,0.0,337.0,0.0,0.0,664.0,0.0,0.0,1683.0,SI,SI,SI,-25.9504150377594,-60.6243211030425
CHACO,General Güemes,Miraflores,4737.0,0.0,0.0,10.0,0.0,0.0,551.0,0.0,0.0,561.0,--,--,SI,-25.6489334968628,-60.9300401901344
CHACO,General Güemes,Nueva Pompeya,2259.0,0.0,0.0,1.0,3.0,0.0,308.0,0.0,0.0,312.0,--,--,--,-24.9334418837191,-61.4846998398146
CHACO,General Güemes,Villa Río Bermejito,3752.0,4.0,0.0,199.0,2.0,0.0,222.0,0.0,0.0,427.0,SI,--,SI,-25.6424413894079,-60.2629438807651
CHACO,General Güemes,Wichi,773.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,91.0,--,--,--,-24.6913977720534,-61.4304454802334
CHACO,Independencia,Avia Terai,6203.0,97.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,122.0,SI,SI,SI,-26.6904269113097,-60.7309487066584
CHACO,Independencia,Campo Largo,9069.0,138.0,0.0,466.0,0.0,0.0,0.0,0.0,3.0,607.0,SI,SI,SI,-26.8038644067827,-60.8423032131182
CHACO,Libertad,Laguna Blanca,547.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,SI,--,--,-27.2572195505018,-59.2340486127892
CHACO,Libertad,Puerto Tirol,8819.0,573.0,0.0,166.0,0.0,0.0,163.0,0.0,0.0,902.0,SI,SI,SI,-27.3745125614532,-59.0953159917862
CHACO,Libertador General San Martín,Ciervo Petiso,786.0,0.0,0.0,0.0,1.0,0.0,97.0,0.0,0.0,98.0,--,--,SI,-26.5815849580294,-59.6329803967089
CHACO,Libertador General San Martín,General José de San Martín,28124.0,584.0,1133.0,5023.0,0.0,0.0,450.0,0.0,0.0,7190.0,SI,SI,SI,-26.5340730622708,-59.334711358946
CHACO,Libertador General San Martín,La Eduvigis,392.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,SI,-26.8374120457599,-59.0641175796047
CHACO,Libertador General San Martín,Laguna Limpia,1207.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,--,--,SI,-26.4967013914467,-59.6799372880349
CHACO,Libertador General San Martín,Pampa Almirón,1278.0,0.0,0.0,18.0,0.0,0.0,55.0,0.0,0.0,73.0,--,SI,SI,-26.702247857191,-59.1237850343206
CHACO,Libertador General San Martín,Pampa del Indio,9204.0,0.0,0.0,12.0,2.0,0.0,757.0,0.0,0.0,771.0,SI,SI,SI,-26.050714758193,-59.9412241077467
CHACO,Libertador General San Martín,Presidencia Roca,4201.0,0.0,0.0,4.0,2.0,0.0,196.0,0.0,0.0,202.0,SI,SI,SI,-26.1402007626997,-59.5968452905131
CHACO,Maipú,Tres Isletas,16976.0,485.0,0.0,10.0,0.0,0.0,99.0,0.0,0.0,594.0,SI,SI,SI,-26.3378349285309,-60.4299349548752
CHACO,Mayor Luis J. Fontana,Coronel Du Graty,7509.0,122.0,73.0,270.0,1.0,0.0,516.0,0.0,0.0,982.0,--,SI,SI,-27.682571155615,-60.9091956314644
CHACO,Mayor Luis J. Fontana,Enrique Urién,515.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,11.0,--,--,--,-27.5587251493486,-60.5259907543736
CHACO,Mayor Luis J. Fontana,Villa Angela,41403.0,3006.0,0.0,818.0,0.0,0.0,411.0,0.0,0.0,4235.0,SI,SI,SI,-27.5788592432947,-60.7141120066309
CHACO,O Higgins,La Clotilde,3382.0,0.0,32.0,101.0,1.0,0.0,0.0,0.0,116.0,250.0,--,--,SI,-27.1781993384686,-60.6315741848515
CHACO,O Higgins,La Tigra,2866.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,252.0,254.0,--,--,SI,-27.1157899755692,-60.5898941741226
CHACO,O Higgins,San Bernardo,9379.0,147.0,0.0,13.0,3.0,0.0,0.0,0.0,38.0,201.0,--,SI,SI,-27.2904384132604,-60.7149736332961
CHACO,Presidencia de la Plaza,Presidencia de la Plaza,9642.0,254.0,327.0,22.0,0.0,0.0,0.0,0.0,0.0,603.0,SI,SI,SI,-27.0029714359347,-59.847600385659
CHACO,Quitilipi,Quitilipi,24517.0,1034.0,0.0,37.0,0.0,0.0,127.0,0.0,0.0,1198.0,SI,SI,SI,-26.8732071732978,-60.2185241226399
CHACO,Quitilipi,Villa El Palmar,879.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,43.0,--,--,SI,-26.4551186226266,-60.1646165913523
CHACO,San Fernando,Barranqueras,54698.0,115.0,3724.0,161.0,0.0,0.0,15.0,0.0,0.0,4015.0,--,SI,SI,-27.4877739289761,-58.9327416886365
CHACO,San Fernando,Basail,1929.0,98.0,67.0,0.0,1.0,0.0,59.0,0.0,0.0,225.0,SI,SI,SI,-27.8868655966917,-59.2791003619491
